NAME,total_units_2000,state_fips,county_fips
"Baldwin County, Georgia",17173,13,009
"Banks County, Georgia",5808,13,011
"Barrow County, Georgia",17304,13,013
"Bartow County, Georgia",28751,13,015
"Ben Hill County, Georgia",7623,13,017
"Berrien County, Georgia",7100,13,019
"Bibb County, Georgia",67194,13,021
"Bleckley County, Georgia",4866,13,023
"Brantley County, Georgia",6490,13,025
"Brooks County, Georgia",7118,13,027
"Bryan County, Georgia",8675,13,029
"Bulloch County, Georgia",22742,13,031
"Burke County, Georgia",8842,13,033
"Butts County, Georgia",7380,13,035
"Calhoun County, Georgia",2305,13,037
"Camden County, Georgia",16958,13,039
"Candler County, Georgia",3893,13,043
"Carroll County, Georgia",34067,13,045
"Catoosa County, Georgia",21794,13,047
"Charlton County, Georgia",3859,13,049
"Chatham County, Georgia",99683,13,051
"Chattahoochee County, Georgia",3316,13,053
"Chattooga County, Georgia",10677,13,055
"Cherokee County, Georgia",51937,13,057
"Clarke County, Georgia",42126,13,059
"Clay County, Georgia",1925,13,061
"Clayton County, Georgia",86461,13,063
"Clinch County, Georgia",2837,13,065
"Cobb County, Georgia",237522,13,067
"Coffee County, Georgia",15610,13,069
"Colquitt County, Georgia",17554,13,071
"Columbia County, Georgia",33321,13,073
"Cook County, Georgia",6558,13,075
"Coweta County, Georgia",33182,13,077
"Crawford County, Georgia",4872,13,079
"Crisp County, Georgia",9559,13,081
"Dade County, Georgia",6224,13,083
"Dawson County, Georgia",7163,13,085
"Decatur County, Georgia",11968,13,087
"DeKalb County, Georgia",261231,13,089
"Dodge County, Georgia",8186,13,091
"Dooly County, Georgia",4499,13,093
"Dougherty County, Georgia",39656,13,095
"Douglas County, Georgia",34825,13,097
"Early County, Georgia",5338,13,099
"Echols County, Georgia",1482,13,101
"Effingham County, Georgia",14169,13,103
"Elbert County, Georgia",9136,13,105
"Emanuel County, Georgia",9419,13,107
"Evans County, Georgia",4381,13,109
"Fannin County, Georgia",11134,13,111
"Fayette County, Georgia",32726,13,113
"Floyd County, Georgia",36615,13,115
"Forsyth County, Georgia",36505,13,117
"Franklin County, Georgia",9303,13,119
"Fulton County, Georgia",348632,13,121
"Gilmer County, Georgia",11924,13,123
"Glascock County, Georgia",1192,13,125
"Glynn County, Georgia",32636,13,127
"Gordon County, Georgia",17145,13,129
"Grady County, Georgia",9991,13,131
"Greene County, Georgia",6653,13,133
"Gwinnett County, Georgia",209682,13,135
"Habersham County, Georgia",14634,13,137
"Hall County, Georgia",51046,13,139
"Hancock County, Georgia",4287,13,141
"Haralson County, Georgia",10719,13,143
"Harris County, Georgia",10288,13,145
"Hart County, Georgia",11111,13,147
"Heard County, Georgia",4512,13,149
"Henry County, Georgia",43166,13,151
"Houston County, Georgia",44509,13,153
"Irwin County, Georgia",4149,13,155
"Jackson County, Georgia",16226,13,157
"Jasper County, Georgia",4806,13,159
"Jeff Davis County, Georgia",5581,13,161
"Jefferson County, Georgia",7221,13,163
"Jenkins County, Georgia",3907,13,165
"Johnson County, Georgia",3634,13,167
"Jones County, Georgia",9272,13,169
"Lamar County, Georgia",6145,13,171
"Lanier County, Georgia",3011,13,173
"Laurens County, Georgia",19687,13,175
"Lee County, Georgia",8813,13,177
"Liberty County, Georgia",21977,13,179
"Lincoln County, Georgia",4514,13,181
"Long County, Georgia",4232,13,183
"Lowndes County, Georgia",36551,13,185
"Lumpkin County, Georgia",8263,13,187
"McDuffie County, Georgia",8916,13,189
"McIntosh County, Georgia",5735,13,191
"Macon County, Georgia",5495,13,193
"Madison County, Georgia",10520,13,195
"Marion County, Georgia",3130,13,197
"Meriwether County, Georgia",9211,13,199
"Miller County, Georgia",2770,13,201
"Mitchell County, Georgia",8880,13,205
"Monroe County, Georgia",8425,13,207
"Montgomery County, Georgia",3492,13,209
"Morgan County, Georgia",6128,13,211
"Murray County, Georgia",14320,13,213
"Muscogee County, Georgia",76182,13,215
"Newton County, Georgia",23033,13,217
"Oconee County, Georgia",9528,13,219
"Oglethorpe County, Georgia",5368,13,221
"Paulding County, Georgia",29274,13,223
"Peach County, Georgia",9093,13,225
"Pickens County, Georgia",10687,13,227
"Pierce County, Georgia",6719,13,229
"Pike County, Georgia",5068,13,231
"Polk County, Georgia",15059,13,233
"Pulaski County, Georgia",3944,13,235
"Putnam County, Georgia",10319,13,237
"Quitman County, Georgia",1773,13,239
"Rabun County, Georgia",10210,13,241
"Randolph County, Georgia",3402,13,243
"Richmond County, Georgia",82312,13,245
"Rockdale County, Georgia",25082,13,247
"Schley County, Georgia",1612,13,249
"Screven County, Georgia",6853,13,251
"Seminole County, Georgia",4742,13,253
"Spalding County, Georgia",23001,13,255
"Stephens County, Georgia",11652,13,257
"Stewart County, Georgia",2354,13,259
"Sumter County, Georgia",13700,13,261
"Talbot County, Georgia",2871,13,263
"Taliaferro County, Georgia",1085,13,265
"Tattnall County, Georgia",8578,13,267
"Taylor County, Georgia",3978,13,269
"Telfair County, Georgia",5083,13,271
"Terrell County, Georgia",4460,13,273
"Thomas County, Georgia",18285,13,275
"Tift County, Georgia",15411,13,277
"Toombs County, Georgia",11371,13,279
"Towns County, Georgia",6282,13,281
"Treutlen County, Georgia",2865,13,283
"Troup County, Georgia",23824,13,285
"Turner County, Georgia",3916,13,287
"Twiggs County, Georgia",4291,13,289
"Union County, Georgia",10001,13,291
"Upson County, Georgia",11616,13,293
"Walker County, Georgia",25577,13,295
"Walton County, Georgia",22500,13,297
"Ware County, Georgia",15831,13,299
"Warren County, Georgia",2767,13,301
"Washington County, Georgia",8327,13,303
"Wayne County, Georgia",10827,13,305
"Webster County, Georgia",1115,13,307
"Wheeler County, Georgia",2447,13,309
"White County, Georgia",9454,13,311
"Whitfield County, Georgia",30722,13,313
"Wilcox County, Georgia",3320,13,315
"Wilkes County, Georgia",5022,13,317
"Wilkinson County, Georgia",4449,13,319
"Worth County, Georgia",9086,13,321
"Hawaii County, Hawaii",62674,15,001
"Honolulu County, Hawaii",315988,15,003
"Kalawao County, Hawaii",172,15,005
"Kauai County, Hawaii",25331,15,007
"Maui County, Hawaii",56377,15,009
"Ada County, Idaho",118516,16,001
"Adams County, Idaho",1982,16,003
"Bannock County, Idaho",29102,16,005
"Bear Lake County, Idaho",3268,16,007
"Benewah County, Idaho",4238,16,009
"Bingham County, Idaho",14303,16,011
"Blaine County, Idaho",12186,16,013
"Boise County, Idaho",4349,16,015
"Bonner County, Idaho",19646,16,017
"Bonneville County, Idaho",30484,16,019
"Boundary County, Idaho",4095,16,021
"Butte County, Idaho",1290,16,023
"Camas County, Idaho",601,16,025
"Canyon County, Idaho",47965,16,027
"Caribou County, Idaho",3188,16,029
"Cassia County, Idaho",7862,16,031
"Clark County, Idaho",521,16,033
"Clearwater County, Idaho",4144,16,035
"Custer County, Idaho",2983,16,037
"Elmore County, Idaho",10527,16,039
"Franklin County, Idaho",3872,16,041
"Fremont County, Idaho",6890,16,043
"Gem County, Idaho",5888,16,045
"Gooding County, Idaho",5505,16,047
"Idaho County, Idaho",7537,16,049
"Jefferson County, Idaho",6287,16,051
"Jerome County, Idaho",6713,16,053
"Kootenai County, Idaho",46607,16,055
"Latah County, Idaho",13838,16,057
"Lemhi County, Idaho",4154,16,059
"Lewis County, Idaho",1795,16,061
"Lincoln County, Idaho",1651,16,063
"Madison County, Idaho",7630,16,065
"Minidoka County, Idaho",7498,16,067
"Nez Perce County, Idaho",16203,16,069
"Oneida County, Idaho",1755,16,071
"Owyhee County, Idaho",4452,16,073
"Payette County, Idaho",7949,16,075
"Power County, Idaho",2844,16,077
"Shoshone County, Idaho",7057,16,079
"Teton County, Idaho",2632,16,081
"Twin Falls County, Idaho",25595,16,083
"Valley County, Idaho",8084,16,085
"Washington County, Idaho",4138,16,087
"Adams County, Illinois",29386,17,001
"Alexander County, Illinois",4591,17,003
"Bond County, Illinois",6690,17,005
"Boone County, Illinois",15414,17,007
"Brown County, Illinois",2456,17,009
"Bureau County, Illinois",15331,17,011
"Calhoun County, Illinois",2681,17,013
"Carroll County, Illinois",7945,17,015
"Cass County, Illinois",5784,17,017
"Champaign County, Illinois",75280,17,019
"Christian County, Illinois",14992,17,021
"Clark County, Illinois",7816,17,023
"Clay County, Illinois",6394,17,025
"Clinton County, Illinois",13805,17,027
"Coles County, Illinois",22768,17,029
"Cook County, Illinois",2096121,17,031
"Crawford County, Illinois",8785,17,033
"Cumberland County, Illinois",4876,17,035
"DeKalb County, Illinois",32988,17,037
"De Witt County, Illinois",7282,17,039
"Douglas County, Illinois",8005,17,041
"DuPage County, Illinois",335621,17,043
"Edgar County, Illinois",8611,17,045
"Edwards County, Illinois",3199,17,047
"Effingham County, Illinois",13959,17,049
"Fayette County, Illinois",9053,17,051
"Ford County, Illinois",6060,17,053
"Franklin County, Illinois",18105,17,055
"Fulton County, Illinois",16240,17,057
"Gallatin County, Illinois",3071,17,059
"Greene County, Illinois",6332,17,061
"Grundy County, Illinois",15040,17,063
"Hamilton County, Illinois",3983,17,065
"Hancock County, Illinois",8909,17,067
"Hardin County, Illinois",2494,17,069
"Henderson County, Illinois",4126,17,071
"Henry County, Illinois",21270,17,073
"Iroquois County, Illinois",13362,17,075
"Jackson County, Illinois",26844,17,077
"Jasper County, Illinois",4294,17,079
"Jefferson County, Illinois",16990,17,081
"Jersey County, Illinois",8918,17,083
"Jo Daviess County, Illinois",12003,17,085
"Johnson County, Illinois",5046,17,087
"Kane County, Illinois",138998,17,089
"Kankakee County, Illinois",40610,17,091
"Kendall County, Illinois",19519,17,093
"Knox County, Illinois",23717,17,095
"Lake County, Illinois",225919,17,097
"La Salle County, Illinois",46438,17,099
"Lawrence County, Illinois",7014,17,101
"Lee County, Illinois",14310,17,103
"Livingston County, Illinois",15297,17,105
"Logan County, Illinois",11872,17,107
"McDonough County, Illinois",13289,17,109
"McHenry County, Illinois",92908,17,111
"McLean County, Illinois",59972,17,113
